,latitude,longitude,surface,azim,kWp,tilt
0,,,18,0.0,2.94,20.0
1,,,21,85.0,2.992,30.0
2,,,57,45.0,9.72,25.0
3,,,21,40.0,2.88,20.0
4,,,23,45.0,2.96,30.0
5,,,22,35.0,3.0,20.0
6,,,31,0.0,5.88,25.0
7,,,21,10.0,2.88,20.0
8,,,18,-80.0,2.94,20.0
9,,,21,30.0,2.94,25.0
10,,,38,-10.0,6.0,30.0
11,,,24,10.0,3.0,10.0
12,,,17,20.0,2.94,20.0
13,,,20,-20.0,3.0,20.0
14,,,25,-45.0,3.06,45.0
15,,,23,75.0,3.006,45.0
16,,,20,-90.0,2.4,35.0
17,,,21,45.0,2.88,35.0
18,,,14,0.0,1.89,40.0
19,,,23,0.0,2.94,50.0
20,,,22,-20.0,2.88,20.0
21,,,18,5.0,2.996,20.0
22,,,27,0.0,4.0,45.0
23,,,22,-170.0,2.56,20.0
24,,,24,40.0,3.06,25.0
25,,,20,10.0,2.625,45.0
26,,,24,0.0,2.97,15.0
27,,,17,-75.0,3.0,10.0
28,,,20,0.0,2.88,40.0
29,,,19,-90.0,1.68,45.0
30,,,658,0.0,99.75,15.0
31,,,24,-75.0,3.24,20.0
32,,,22,0.0,2.94,20.0
33,,,22,90.0,2.99,30.0
34,,,53,0.0,8.988,20.0
35,,,23,90.0,2.8,25.0
36,,,21,-50.0,2.94,25.0
37,,,180,0.0,30.375,25.0
38,,,21,60.0,2.94,45.0
39,,,20,-45.0,3.12,20.0
40,,,290,-10.0,36.0,15.0
41,,,21,10.0,3.0,20.0
42,,,21,60.0,2.88,20.0
43,,,17,-10.0,2.45,45.0
44,,,24,-65.0,2.97,20.0
45,,,20,5.0,2.88,35.0
46,,,21,0.0,2.96,35.0
47,,,21,10.0,2.94,20.0
48,,,26,-45.0,2.88,15.0
49,,,20,-45.0,3.0,30.0
50,,,18,-50.0,2.996,30.0
51,,,42,0.0,6.0,40.0
52,,,19,-40.0,2.94,30.0
53,,,23,45.0,2.94,45.0
54,,,23,-45.0,2.97,35.0
55,,,20,45.0,2.96,15.0
56,,,21,30.0,2.96,20.0
57,,,20,-90.0,2.96,15.0
58,,,22,-15.0,2.97,40.0
59,,,24,20.0,2.96,40.0
60,,,17,-20.0,2.94,20.0
61,,,20,0.0,3.0,35.0
62,,,24,-155.0,3.01,20.0
63,,,23,85.0,2.88,30.0
64,,,17,-25.0,2.5,20.0
65,,,25,30.0,2.94,35.0
66,,,21,0.0,2.94,20.0
67,,,25,45.0,3.25,40.0
68,,,18,90.0,2.76,20.0
69,,,24,85.0,2.96,15.0
70,,,19,30.0,2.996,30.0
71,,,52,-45.0,8.96,20.0
72,,,20,-10.0,2.94,40.0
73,,,21,-10.0,3.04,30.0
74,,,22,35.0,2.996,15.0
75,,,22,-45.0,2.94,35.0
76,,,21,-40.0,3.0,30.0
77,,,17,25.0,2.94,20.0
78,,,21,-40.0,2.982,40.0
79,,,17,-35.0,2.76,15.0
80,,,17,10.0,2.4,40.0
81,,,18,0.0,3.05,20.0
82,,,39,0.0,5.85,55.0
83,,,17,5.0,2.1,40.0
84,,,22,90.0,2.8,20.0
85,,,18,0.0,2.94,20.0
86,,,19,45.0,2.99,35.0
87,,,21,-90.0,2.775,20.0
88,,,22,40.0,2.835,35.0
89,,,21,-30.0,2.96,20.0
90,,,22,0.0,2.96,35.0
91,,,25,90.0,4.2,25.0
92,,,23,0.0,2.94,35.0
93,,,59,-30.0,9.0,30.0
94,,,24,-5.0,2.96,20.0
95,,,22,-20.0,2.94,15.0
96,,,23,50.0,2.94,15.0
97,,,21,0.0,2.96,40.0
98,,,18,-90.0,2.996,10.0
99,,,25,-30.0,2.97,20.0
100,,,20,30.0,3.0,45.0
101,,,18,-35.0,2.94,15.0
102,,,38,90.0,5.4,10.0
103,,,23,-25.0,2.94,35.0
104,,,23,25.0,2.992,45.0
105,,,20,15.0,2.96,30.0
106,,,23,0.0,2.88,20.0
107,,,14,20.0,2.4,20.0
108,,,17,-10.0,2.82,45.0
109,,,19,-20.0,2.1,20.0
110,,,20,-5.0,2.96,45.0
111,,,23,30.0,2.88,20.0
112,,,24,90.0,2.94,45.0
113,,,16,0.0,2.1,35.0
114,,,20,-30.0,2.94,45.0
115,,,18,-15.0,2.996,20.0
116,,,50,45.0,8.745,30.0
117,,,20,-75.0,2.88,40.0
118,,,21,10.0,2.94,45.0
119,,,8,-25.0,1.08,15.0
120,,,24,0.0,2.94,15.0
121,,,24,15.0,3.0,25.0
122,,,12,-45.0,2.1,15.0
123,,,23,0.0,3.0,25.0
124,,,21,-45.0,2.996,15.0
125,,,15,30.0,2.25,70.0
126,,,23,-75.0,2.88,20.0
127,,,16,20.0,3.0,35.0
128,,,18,0.0,3.0,30.0
129,,,23,0.0,2.996,45.0
130,,,21,-10.0,2.94,30.0
131,,,50,-45.0,6.0,20.0
132,,,24,0.0,2.996,20.0
133,,,22,0.0,3.0,20.0
134,,,24,90.0,2.96,40.0
135,,,20,0.0,2.52,30.0
136,,,18,-30.0,2.52,20.0
137,,,24,-35.0,2.4,20.0
138,,,23,15.0,2.996,35.0
139,,,20,100.0,2.96,45.0
140,,,21,-25.0,2.96,40.0
141,,,20,0.0,3.36,30.0
142,,,21,10.0,2.8,45.0
143,,,14,0.0,1.75,40.0
144,,,23,0.0,3.22,15.0
145,,,22,20.0,2.99,35.0
146,,,22,45.0,2.96,45.0
147,,,15,35.0,2.925,45.0
148,,,18,-40.0,2.16,15.0
149,,,18,-65.0,2.45,15.0
150,,,24,-40.0,3.375,40.0
151,,,21,-90.0,2.94,20.0
152,,,22,45.0,2.97,35.0
153,,,22,10.0,2.96,20.0
154,,,18,-40.0,2.94,30.0
155,,,17,0.0,1.7,30.0
156,,,33,-90.0,5.5,15.0
157,,,22,15.0,4.0,20.0
158,,,20,30.0,3.0,45.0
159,,,18,-30.0,2.94,45.0
160,,,10,0.0,1.8,65.0
161,,,23,15.0,2.94,45.0
162,,,16,0.0,3.0,35.0
163,,,18,-15.0,2.996,15.0
164,,,21,0.0,2.76,45.0
165,,,17,45.0,3.0,30.0
166,,,16,80.0,2.1,15.0
167,,,18,-55.0,2.996,30.0
168,,,21,0.0,2.96,45.0
169,,,20,0.0,3.0,15.0
170,,,21,0.0,3.045,25.0
171,,,15,-65.0,2.1,20.0
172,,,18,85.0,2.1,40.0
173,,,20,-40.0,2.94,15.0
174,,,24,-15.0,2.96,25.0
175,,,21,40.0,2.96,30.0
176,,,21,-45.0,2.96,30.0
177,,,24,-45.0,2.96,45.0
178,,,21,70.0,2.94,20.0
179,,,60,-45.0,6.75,80.0
180,,,16,40.0,3.0,20.0
181,,,20,-75.0,2.94,25.0
182,,,35,0.0,5.0,20.0
183,,,16,-45.0,2.176,20.0
184,,,23,0.0,3.0,45.0
185,,,23,20.0,2.996,45.0
186,,,21,0.0,3.0,30.0
187,,,23,0.0,2.96,40.0
188,,,23,0.0,2.96,40.0
